"USERID","PERSONID","STATUS","DEFSITE","TYPE","GROUPNAME"
VANESSAPESSANHA,VANESSAPESSANHA,INACTIVE,ODN1,TYPE 5,OOG_MOC_OPENERS
VANESSASANTOS,VANESSASANTOS,INACTIVE,OP-BASE,TYPE 3,MAXEVERYONE
VANESSASANTOS,VANESSASANTOS,INACTIVE,OP-BASE,TYPE 3,OOG_ALL_DRILLING
VANESSASANTOS,VANESSASANTOS,INACTIVE,OP-BASE,TYPE 3,OOG_MACRO_ACTIONS
VANESSASANTOS,VANESSASANTOS,INACTIVE,OP-BASE,TYPE 3,OOG_MOCDOC_EMISSOR
VANESSASANTOS,VANESSASANTOS,INACTIVE,OP-BASE,TYPE 3,OOG_MOCPEO_EMISSOR
VANESSASOLIVEIRA,VANESSASOLIVEIRA,ACTIVE,N06,TYPE 4,MAXEVERYONE
VANESSASOLIVEIRA,VANESSASOLIVEIRA,ACTIVE,N06,TYPE 4,OOG_ALL_DRILLING
VANESSASOLIVEIRA,VANESSASOLIVEIRA,ACTIVE,N06,TYPE 4,OOG_BASE_READ_ONLY
VANESSASOLIVEIRA,VANESSASOLIVEIRA,ACTIVE,N06,TYPE 4,OOG_MOCDOC_EMISSOR
VANESSASOLIVEIRA,VANESSASOLIVEIRA,ACTIVE,N06,TYPE 4,OOG_MOCPEO_APROVADOR
VANESSASOLIVEIRA,VANESSASOLIVEIRA,ACTIVE,N06,TYPE 4,OOG_MOC_OPENERS
VANIASANTOS,VANIASANTOS,INACTIVE,ODN1,TYPE 1,MAXEVERYONE
VCARVALHO,VCARVALHO,INACTIVE,ODN1,TYPE 3,MAXEVERYONE
VCARVALHO,VCARVALHO,INACTIVE,ODN1,TYPE 3,OOG_ALL_DRILLING
VCARVALHO,VCARVALHO,INACTIVE,ODN1,TYPE 3,OOG_BASE_READ_ONLY
VCORREA,VCORREA,INACTIVE,,TYPE 1,MAXDEFLTREG
VCORREA,VCORREA,INACTIVE,,TYPE 1,MAXEVERYONE
