IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  SPATIALPARAMIMM, SKDPROJECTSCENARIO, SKDSPATIALPARAM, skdspatialparamid=:inputobjid and forimmediaterun=:yes, -, -, Spatial Parameter for run optimization immediately., 100689
  SPATIALPARAMCRON, SKDPROJECTSCENARIO, SKDSPATIALPARAM, skdspatialparamid=(select cronskdspatialparamid from skdspatialparam where skdspatialparamid=:inputobjid) and forimmediaterun=:no, -, -, Spatial Parameter for run optimization at the time or periodically., 100690
  OPASCPSPARAM, SKDPROJECTSCENARIO, SKDOPASCPSPARAM, skdopascpsparamid=:inputobjid, -, -, GSLP Maintenance Scheduling  Parameter for run optimization immediately., 100691
  OPASCPSPARAMIMM, SKDPROJECTSCENARIO, SKDOPASCPSPARAM, skdopascpsparamid=:inputobjid and forimmediaterun=:yes, -, -, GSLP Maintenance Scheduling  Parameter for run optimization immediately., 100692
  OPASCPSPARAMCRON, SKDPROJECTSCENARIO, SKDOPASCPSPARAM, skdopascpsparamid=(select cronskdopascpsparamid from skdopascpsparam where skdopascpsparamid=:inputobjid) and forimmediaterun=:no, -, -, GSLP Maintenance Scheduling Parameter for run optimization at the time or periodically., 100693
  CPSPARAMIMM, SKDPROJECTSCENARIO, SKDOPASCPSPARAM, skdopascpsparamid=:inputobjid and forimmediaterun=:yes, -, -, GSLP Maintenance Scheduling  Parameter for run optimization immediately., 100694
  OOG_ACTIVEENGPROCESS, PLUSGMOC, WFINSTANCE, OWNERID = :WORKORDERID AND PROCESSNAME='OOG_MOEAPP' AND ACTIVE=1, -, 0, Relationship between PLUSGMOC and WFINSTANCE for OOG_MOEAPP active process, 99750
  OOG_ACTIVEENGSUBPROCESS, PLUSGMOC, WFINSTANCE, OWNERID = :WORKORDERID AND PROCESSNAME='OOG_MOCAPP ' AND ACTIVE=1, -, 0, Relationship between PLUSGMOC and WFINSTANCE for OOG_MOCAPP active process (OOG_MOEAPP sub process), 99751
  OOG_ENGACTIVEASSIGNMENT, PLUSGMOC, WFASSIGNMENT, OWNERID = :WORKORDERID AND PROCESSNAME='OOG_MOEAPP' AND ASSIGNSTATUS='ACTIVE', -, 0, Relationship between PLUSGMOC and WFASSIGNMENT used to find ative assignment on OOG_MOEAPP process, 99752
  OOG_ENGACTIVEASSIGNTSUB, PLUSGMOC, WFASSIGNMENT, OWNERID = :WORKORDERID AND PROCESSNAME='OOG_MOCAPP' AND ASSIGNSTATUS='ACTIVE', -, 0, Relationship between PLUSGMOC and WFASSIGNMENT used to find ative assignment on OOG_MOCAPP process (OOG_MOEAPP sub process), 99753
  BIMATTRIBUTEMAP, BIMPROJECT, BIMATTRIBUTEMAP, MAPNAME in ( SELECT MAPNAME from BIMATTRIBUTEMAPLIST where BIMPROJECTID=:BIMPROJECTID ), -, -, All attribute maps associated with a project, 98762
  BIMATTRIBUTEMAPLISTS, BIMATTRIBUTEMAP, BIMATTRIBUTEMAPLIST, MAPNAME=:MAPNAME, -, -, A list of BIMTYPEMAPLIST that reference this BIMTYPEMAP.  It will return zero or more rows, 98764
  BIMTYPEMAPLIST, BIMPROJECT, BIMTYPEMAPLIST, BIMPROJECTID=:BIMPROJECTID, -, -, All attribute maps lists associated with a project, 98765
  BIMTYPEMAPFORLIST, BIMTYPEMAPLIST, BIMTYPEMAP, MAPNAME=:MAPNAME, -, -, The attribute map referenced by the list entry, 98766
  BIMATYPEMAP, BIMPROJECT, BIMTYPEMAP, MAPNAME in ( SELECT MAPNAME from BIMTYPEMAPLIST where BIMPROJECTID=:BIMPROJECTID ), -, -, All type maps associated with a project, 98767
  BIMTYPEMAPLISTS, BIMTYPEMAP, BIMTYPEMAPLIST, MAPNAME=:MAPNAME, -, -, A list of BIMTYPEMAPLIST that reference this BIMTYPEMAP.  It will return zero or more rows, 98769
  BIMSYSTEMMAPENTRY, BIMPROJECT, BIMSYSTEMMAPENTRY, BIMPROJECTID=:BIMPROJECTID, -, -, All system maps lists associated with a project, 98770
  BIMFILTERLIST, BIMSESSION, BIMFILTERLIST, BIMSESSIONID=:BIMSESSIONID, -, -, All filters lists associated with a session, 98771
  BIMFILTERS, BIMSESSION, BIMFILTER, FILTERNAME in ( SELECT FILTERNAME from BIMFILTERLIST where BIMSESSIONID=:BIMSESSIONID ), -, -, All filters associated with a session, 98772
  FACILITYCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :FACILITYCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the operating location's ClassStructureId. (BIMCONFIGURATION.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98773
  FLOORCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :FLOORCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the operating location's ClassStructureId. (BIMCONFIGURATION.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98774
  SPACECLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :SPACECLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the operating location's ClassStructureId. (BIMCONFIGURATION.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98775
  ZONECLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :ZONECLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the operating location's ClassStructureId. (BIMCONFIGURATION.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98776
  SYSTEMCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :SYSTEMCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the operating location's ClassStructureId. (BIMCONFIGURATION.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98777
  OPERLOCCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :OPERLOCCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the operating location's ClassStructureId. (BIMCONFIGURATION.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98778
  ASSETCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :ASSETCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the asset's ClassStructureId. (BIMCONFIGURATION.ASSETCLASSIFICATIONID =classstructure.classstructureid). The resulting set will contain zero or one object., 98779
  PRODUCTCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :PRODUCTCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the products's ClassStructureId. (BIMCONFIGURATION.PRODUCTCLASSIFICATIONID =classstructure.classstructureid). The resulting set will contain zero or one object., 98780
  ITEMCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :ITEMCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the item's ClassStructureId. (BIMCONFIGURATION.ITEMCLASSIFICATIONID =classstructure.classstructureid). The resulting set will contain zero or one object., 98781
  PERSONCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :PERSONCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the person's ClassStructureId. (BIMCONFIGURATION.PERSONCLASSIFICATIONID =classstructure.classstructureid). The resulting set will contain zero or one object., 98782
  COMPANYCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :COMPANYCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the companies ClassStructureId. (BIMCONFIGURATION.CLASSCLASSIFICATIONID =classstructure.classstructureid). The resulting set will contain zero or one object., 98783
  JOBPLANCLASS, BIMCONFIGURATION, CLASSSTRUCTURE, classstructureid = :JOBPLANCLASSIFICATIONID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the Job Plans ClassStructureId. (BIMCONFIGURATION.JOBPLANCLASSIFICATIONID =classstructure.classstructureid). The resulting set will contain zero or one object., 98784
  USEWITHLIST, BIMOMNICLASSIMPORT, BIMOMNICLASSUSEWITH, BIMOMNICLASSIMPORTID = :BIMOMNICLASSIMPORTID, -, -, List of all UseWith object types, 98785
  CLASSSTRUCTURE, BIMOMNICLASSIMPORT, CLASSSTRUCTURE, classstructureid = :CLASSSTRUCTUREID, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the products's ClassStructureId. (BIMOMNICLASSIMPORT.CLASSSTRUCTUREID =classstructure.classstructureid). The resulting set will contain zero or one object., 98786
  BIMCOMMISSION, BIMPROJECT, BIMCOMMISSION, BIMPROJECTID=:BIMPROJECTID, -, -, Parent child relatiobship between project and commissioning, 98787
  ASSETTREE, LOCATIONS, ASSET, location in ( select location from locancestor where ancestor =:location) AND siteid = :siteid, -, -, All assets associated with the location or any child of the location location in ( select location from locancestor where ancestor =:location) AND siteid = :siteid, 98788
  PLUSGOWNERHISTORY, PLUSGISOLATION, PLUSGOWNERHISTORY, recordid = :plusgpermitworkid and class = 'PLUSGISOLATION', -, -, Relationship to the ownership history records., 99318
  PLUSGPERMITWORKISO, PLUSGPERWORKSIMOP, PLUSGPERMITWORK, plusgpermitworkid <> :ownerid and exists (select 1 from synonymdomain where domainid = 'PLUSGPTWCLASS' and maxvalue in ('PLUSGISO') and value = plusgpermitwork.ptwclass) and exists (select 1 from synonymdomain where domainid = 'PLUSGPERWORKSTATUS' and maxvalue in ('ISSUED', 'ACTIVE', 'SUSPEND') and value = plusgpermitwork.status) and ((:permitunit = 1 and (permitunit = :ownerunit or exists (select 1 from plusgperworklocs where plusgperworklocs.plusgpermitworkid = plusgpermitwork.plusgpermitworkid and permitunit = :ownerunit))) or (:area = 1 and (exists (select 1 from locations where locations.locationsid = plusgpermitwork.locationsid and plusgarea = :ownerarea) or exists (select 1 from plusgperworklocs where plusgperworklocs.plusgpermitworkid = plusgpermitwork.plusgpermitworkid and exists (select 1 from locations where locations.locationsid = plusgperworklocs.locationsid and plusgarea = :ownerarea))))), -, -, Relationship to the ownership history records., 99319
  PLUSGPERMITWORK, PLUSGPERWORKSIMOP, PLUSGPERMITWORK, plusgpermitworkid <> :ownerid and exists (select 1 from synonymdomain where domainid = 'PLUSGPTWCLASS' and maxvalue in ('PLUSGPTW') and value = plusgpermitwork.ptwclass) and exists (select 1 from synonymdomain where domainid = 'PLUSGPERWORKSTATUS' and maxvalue in ('ISSUED', 'ACTIVE', 'SUSPEND') and value = plusgpermitwork.status) and ((:permitunit = 1 and (permitunit = :ownerunit or exists (select 1 from plusgperworklocs where plusgperworklocs.plusgpermitworkid = plusgpermitwork.plusgpermitworkid and permitunit = :ownerunit))) or (:area = 1 and (exists (select 1 from locations where locations.locationsid = plusgpermitwork.locationsid and plusgarea = :ownerarea) or exists (select 1 from plusgperworklocs where plusgperworklocs.plusgpermitworkid = plusgpermitwork.plusgpermitworkid and exists (select 1 from locations where locations.locationsid = plusgperworklocs.locationsid and plusgarea = :ownerarea))))), -, -, Relationship to the ownership history records., 99320
  PLUSGASSFAILUREMODE, ASSET, PLUSGASSFAILUREMODE, assetuid = :assetuid, -, -, Relationship from asset to failure mode., 99321
  PLUSGFMPERSON, ASSET, PERSON, personuid = :plusgfmpersonid, -, -, Relationship from asset to PERSON., 99322
  PLUSGFMPERSONASS, PERSON, ASSET, plusgfmpersonid = :personuid, -, -, Relationship from PERSON to asset FM person., 99323
  FAILURECODE, PLUSGASSFAILUREMODE, FAILURECODE, failurecode = :failurecode and orgid=:orgid, -, -, Retrieves a failure class based on the failure mode., 99324
  PLUSGASSFAILUREMODE, FAILURELIST, PLUSGASSFAILUREMODE, failurecode = :failurecode and orgid=:orgid, -, -, Retrieves a failure class based on the failure mode., 99325
  PROBLEM, PLUSGASSFAILUREMODE, FAILURECODE, failurecode=:problemcode and orgid=:orgid, -, -, Retrieves a failure code based on the failure mode., 99326
  PLUSGPROCEDURE, PLUSGASSFAILUREMODE, PLUSGPROCEDURE, plusgprocedureid = :plusgprocedureid, -, -, Relationship from PLUSGASSFAILUREMODE to PLUSGPROCEDURE., 99327
  PLUSGASSFAILUREMODE, PLUSGPROCEDURE, PLUSGASSFAILUREMODE, plusgprocedureid = :plusgprocedureid, -, -, Relationship from PLUSGPROCEDURE to PLUSGASSFAILUREMODE., 99328
  PLUSGPOLICY, PLUSGASSFAILUREMODE, PLUSGPOLICY, plusgpolicyid = :plusgpolicyid, -, -, Relationship from PLUSGASSFAILUREMODE to PLUSGPOLICY., 99329
  PLUSGASSFAILUREMODE, PLUSGPOLICY, PLUSGASSFAILUREMODE, plusgpolicyid = :plusgpolicyid, -, -, Relationship from PLUSGPOLICY to PLUSGASSFAILUREMODE., 99330
  PLUSGJOBPLAN, PLUSGASSFAILUREMODE, JOBPLAN, jobplanid = :jobplanid, -, -, Relationship to the job plan records from PLUSGASSFAILUREMODE application, 99331
  PLUSGASSFAILUREMODE, JOBPLAN, PLUSGASSFAILUREMODE, jobplanid = :jobplanid, -, -, Retrieves a PLUSGASSFAILUREMODE based on the selected job plan., 99332
  PLUSGJPTASK, PLUSGASSFAILUREMODE, JOBTASK, jobplanid = :jobplanid and jptask=:jptask, -, -, Relationship to the job plan records from PLUSGASSFAILUREMODE application, 99333
  MEASUREPOINT, PLUSGASSFAILUREMODE, MEASUREPOINT, measurepointid = :measurepointid, -, -, Relationship between failure mode and measures, 99334
  PLUSGASSFAILUREMODE, MEASUREPOINT, PLUSGASSFAILUREMODE, measurepointid = :measurepointid, -, -, Retrieves all failure mode related to current measurement point, 99335
  PLUSGCONSQ, PLUSGASSFAILUREMODE, PLUSGCONSQ, plusgconsqid =:plusgconsqid, -, -, Retrieves all Consequences., 99336
  PLUSGASSFAILUREMODE, PLUSGCONSQ, PLUSGASSFAILUREMODE, plusgconsqid =:plusgconsqid, -, -, Retrieves all failure mode., 99337
  PLUSGCONSQRISKANDPRIOR, PLUSGASSFAILUREMODE, PLUSGRISKLIST, exists (select 1 from plusgconsq where plusgconsq.plusgconsqid = :plusgconsqid and plusgrisklist.plusgconsqid = plusgconsq.plusgconsqid) and likelihood = :likelihood, -, -, Retrieves a PLUSGASSFAILUREMODE list record based on a consequence and likelihood value from a risk assessment., 99338
  PLUSGPERSON, PLUSGASSFAILUREMODE, PERSON, personuid = :actionbyid, -, -, Relationship to person to retrieve its details., 99339
  PLUSGASSFAILUREMODE, PERSON, PLUSGASSFAILUREMODE, actionbyid =:personuid, -, -, Relationship to failure mode to retrieve its details., 99340
  PLUSGSTDACT, PLUSGASSFAILUREMODE, PLUSGSTDACT, plusgstdactid = :plusgstdactid, -, -, Relationship to standard action to retrieve its details., 99341
  PLUSGASSFAILUREMODE, PLUSGSTDACT, PLUSGASSFAILUREMODE, plusgstdactid = :plusgstdactid, -, -, Relationship to failure mode standard action list., 99342
  PLUSGASSFAILUREMODE, PLUSGREGULATION, PLUSGASSFAILUREMODE, plusgregulationid = :plusgregulationid, -, -, Shows Regulations of an failure mode., 99343
  PLUSGREG, PLUSGASSFAILUREMODE, PLUSGREGULATION, plusgregulationid = :plusgregulationid, -, -, Shows Regulations for failure mode, 99344
  PM, PLUSGASSFAILUREMODE, PM, pmuid = :pmuid, -, -, Shows pm for failure mode, 99345
  PLUSGASSFAILUREMODE, PM, PLUSGASSFAILUREMODE, pmuid = :pmuid, -, -, Shows failure mode for pm, 99346
  PLUSGFAILMECH, PLUSGASSFAILUREMODE, NUMERICDOMAIN, domainid='PLUSGFAILMECHCODE' and value=:plusgfailmech, -, -, Retrieves the description of the value selected on the field Failure Mechanism Code., 99347
  PLUSGFAILSUBDIV, PLUSGASSFAILUREMODE, ALNDOMAIN, domainid='PLUSGFAILMESUBCODE' and value=:plusgfailsubdiv, -, -, Retrieves the description of the value selected on the field PLUSGFAILSUBDIV, 99348
  PLUSGTAGOUT, PLUSGPERMITWORK, TAGOUT, -, -, -, Relationship to create TAGLOCK from Permit to Work, based on the selected Lock Out / Tag Out., 99349
  PLUSGJPTESTRES, MEASUREPOINT, PLUSGJPTESTRES, measurepointid = :measurepointid, -, -, Retrieves the readings associated with a measure., 99350
  PLUSGMOCCLOSURELIST, PLUSGMOC, PLUSGMOCCLOSURELIST, workorderid = :workorderid, -, -, Relationship to retrieve all the actions of an MOC Closure., 99351
  PLUSGPERSON, PLUSGMOCCLOSURELIST, PERSON, personuid = :actionbyid, -, -, Relationship to person to retrieve its details., 99352
  PLUSGRFW, OOG_ALERT, PLUSGRFW, rfwnum=:plusgrfwnum  and orgid=:orgid, -, 0, Relationship to the Reason forAlert, used to find the rfw for a Alert. (Plusgrfw.rfwnum = oog_alert.plusgrfwnum). This resulting set will contain zero or one object., 99655
  LOCATIONCRITERIA, LOCATIONS, OOG_CRITERIAAUDIT, location = :location and siteid= :siteid, -, 0, Relationship to the Criteria History table, 99656
  PLUSGRISKASSESS, PLUSGHAZRISK, PLUSGRISKASSESS, plusgriskassessid = :plusgriskassessid, -, 0, Retrieves the Risk Assessment associated, 99657
  WFASSIGNMENT, PLUSGRISKASSESS, WFASSIGNMENT, ownertable = 'PLUSGRISKASSESS' and wfassignment.ownerid = :PLUSGRISKASSESSID and assignstatus in (select value from synonymdomain where domainid='WFASGNSTATUS' and maxvalue='ACTIVE'), -, 0, Show Active Assignment, 99658
  WFTRANSACTION, PLUSGRISKASSESS, WFTRANSACTION, ownertable = 'PLUSGRISKASSESS' and ownerid = :PLUSGRISKASSESSID, -, 0, Relationship to workflow transactions., 99659
  WORKFLOWMAP, PLUSGRISKASSESS, WORKFLOWMAP, -, -, 0, Get virtual set to display process maps, 99660
  WFTOOLBAR, PLUSGRISKASSESS, WFTOOLBAR, -, -, 0, Get the virtual set that manages the toolbar buttons., 99661
  BIMASSETTREE, LOCATIONS, ASSET, location in ( select location from locancestor where ancestor =:location and systemid in (select systemid from locsystem where siteid =:siteid  and primarysystem = 1) ) and siteid =:siteid, -, -, All assets associated with the location or any child of the location location in ( select location from locancestor where ancestor =:location and systemid in (select systemid from locsystem where siteid =:siteid  and primarysystem = 1) ) and siteid =:siteid, 98789
  FACILITY, ASSET, LOCATIONS, location in ( select ancestor from locancestor where location =:location and systemid in ( select systemid from locsystem where siteid =:siteid and primarysystem = 1))  and siteid =:siteid  and BIMUSAGE in ( select value from synonymdomain where domainid = 'BIMLOCATIONUSE' and MAXVALUE = 'FACILITY' ), -, -, Facility in which the asset is located, 98790
  FLOOR, ASSET, LOCATIONS, location in ( select ancestor from locancestor where location =:location and systemid in ( select systemid from locsystem where siteid =:siteid and primarysystem = 1))  and siteid =:siteid  and BIMUSAGE in ( select value from synonymdomain where domainid = 'BIMLOCATIONUSE' and MAXVALUE = 'FLOOR' ), -, -, Floor on which the asset is located, 98791
  SPACE, ASSET, LOCATIONS, location in ( select ancestor from locancestor where location =:location and systemid in ( select systemid from locsystem where siteid =:siteid and primarysystem = 1))  and siteid =:siteid  and BIMUSAGE in ( select value from synonymdomain where domainid = 'BIMLOCATIONUSE' and MAXVALUE = 'SPACE' ), -, -, Space in which the asset is located, 98792
  CLASSSTRUCTURE, LOCSYSTEM, CLASSSTRUCTURE, classstructureid = :classstructureid, -, -, Relationship to the ClassStructure table, used to find the class structure which contains the systems ClassStructureId. (locsystem.classstructureid =classstructure.classstructureid). The resulting set will contain zero or one object., 98793
