ENVIRONMENT,APPNAME,MODULE,SELFSERVICE,LIMITEDUSE,AUTHORIZEDUSE
BASE,PLUSTS,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSWOTR,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSCA,PLUSCA,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCCD,PLUSCCM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCONDRE,SSDR,FULLACCESS,FULLACCESS,FULLACCESS
BASE,PLUSEG,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSPERMIT,PLUSPERMIT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSQPERM,PLUSPERMIT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCHANGE,PLUSCCM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCI,CI,NOACCESS,READONLY,FULLACCESS
BASE,PLUSRELEAS,PLUSCCM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSSOLUT,PLUSCA,FULLACCESS,FULLACCESS,FULLACCESS
BASE,PLUSLNUPPL,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSLNUPWK,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCLKSK,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSLNPKSK,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSQASSET,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSQLOCAT,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSDUTY,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSDUTYPL,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSLCO,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSNOTIF,PLUSOPMNGT,NOACCESS,READONLY,FULLACCESS
BASE,PLUSRDFREQ,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSJOBPLAN,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSQWOTR,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSCLGRP,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSDYNATEMP,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,PLUSOBJCTV,UTIL,NOACCESS,READONLY,FULLACCESS
BASE,CALIBRATION,PLANS,NOACCESS,READSAVE,FULLACCESS
