ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
N06,OOG_PJEN,Person group for all the project engineers,0,0,0,-
N06,P&O,P&O,0,0,0,-
N06,OOG_SUDI,Department for the Superintendent Director,0,0,0,-
N06,OOG_RIGM,Rig Managers,0,0,0,-
N06,OOG_COND,Contract Director,0,0,0,-
N06,OOG_OIM,Department for OIM/Captain,0,0,0,-
N06,MOC_AAPR,Análise de risco e Aprovação da MOC,0,0,0,-
N06,TUBOFF,Tubulação/Piping,0,0,1,-
N06,PROOFF,Processo / Process,0,0,1,1
N06,ESTOFF,Estrutura / Structure,0,0,1,1
N06,VACOFF,HVAC (Condicionador de Ar de Ventilação de Aquecimento - Heating Ventilation Air Conditioner),0,0,1,1
N06,NR-13,NR-13,0,0,1,-
N06,HSEOFF,Sustentabilidade HSE / Sustainability HSE,0,0,1,-
N06,HOSOFF,Sustentabilidade Hospital / Sustainability Hospital,0,0,1,-
N06,RADOFF,Marinha Radio,0,0,1,-
N06,OOG_MOCO,Person group contaning people that can create MOC O&F records,0,0,0,-
N06,ATVON,Gestão de Ativos / Asset Management,0,0,1,-
N06,TDION,Tecnologia da Informação / Information Tecnology Onshore,0,0,1,-
N06,ELEOFF,Eletroeletrônica / Electro Electronic,0,0,1,-
N06,MAQOFF,Máquinas / Engineering,0,0,1,1
N06,NAUOFF,Marinha / Marine,0,0,1,-
N06,DRLOFF,Perfuração / Drilling,0,0,1,-
N06,QUAON,Garantia da Qualidade / Quality Assurance  Onshore,0,0,1,-
N06,OPRON,Operação / Operation Onshore,0,0,1,-
N06,MANOFF,Manutenção / Maintenance,0,0,1,1
N06,MATOFF,Materiais / Materials,0,0,1,1
N06,JURON,Jurídico / Legal Onshore,0,0,1,-
N06,SCPON,Subsea e Construção de Poços / Subsea and Construction of Wells,0,0,1,-
N06,SSTON,Sustentabilidade / Sustainabitity Onshore,0,0,1,-
N06,ETCOFF,Eletroeletrônica / Electroelectronical,0,0,1,1
N06,ACOON,Administração Contratual / Contractual Administration Onshore,0,0,1,-
N06,COMON,Comunicação / Comunication Onshore,0,0,1,-
N06,NAUON,Gestão Marítima / Maritime Management,0,0,1,-
N06,PRJON,Projetos (Engenharia) / Projects (Engineering),0,0,1,-
N06,SBSOFF,Subsea / Subsea,0,0,1,1
N06,SUPON,Suprimentos e Logística de Materiais / Supply and Materials Logistics Onshore,0,0,1,-
N06,FINON,Finanças / Finance Onshore,0,0,1,-
N06,PEOON,Pessoas & Organização / People & Organization Onshore,0,0,1,-
N06,SEVON,Serviços / Services Onshore,0,0,1,-
N06,MCHOFF,Mecânica / Mechanical,0,0,1,1
N06,SSTOFF,Sustentabilidade / Sustainabitity Offshore,0,0,1,-
N06,OOG_MPO,MOC People Openers,0,0,0,-
N06,OOG_AENG,Asset Engineers,0,0,0,-
N06,OOG_COEQ,Equipment Coordination Team,0,0,0,-
N06,OOG_DCSD,Drilling CSD Person Group,0,0,0,-
N06,OOG_MCSD,Marine CSD Person Group,0,0,0,-
N06,OOG_NR13,NR13 Speciality Offshore,0,0,0,-
N06,OOG_SUBS,Subsea Coordination Person Group,0,0,0,-
N06,OOG_ASMG,Asset Manager Approval Group - MOCs Only,0,0,0,-
N06,INTOFF,Internalização / Internalization,0,0,1,-
N06,SPIE,Serviço Próprio de Inspeção de Equipamentos,0,1,0,-
N06,OOG_PD,Person Group Performance Director,0,0,0,-
N06,OOG_AM,Asset Manager,0,0,0,-
N06,SAU,Saúde / Health,0,0,1,-
N06,SPI,SPIE – Serviço Próprio e Inspeção de Equipamentos / Own Service and Equipment Inspection,0,0,1,-
